text,label
Pay Email,School
Get Portfolio,Work
Schedule Exam,School
Do Birthday,Social
Schedule Kitchen,Personal
Study,School
Pay University,School
Goto Email,School
Do Manager,Work
Finish Vegetables,Health
Schedule Project,Work
Finish Gym,Health
Get Call,Social
Go for Homework,School
Get Health,Health
Finish Write,School
Go for Movie,Social
Schedule Teacher,School
Get Client,Work
Visit Dishes,Personal
Finish Thanksgiving,Social
Schedule Club,Social
Schedule Email,School
Sibling,Social
Visit Running,Health
Goto Recruiter,Work
Do Lecture,School
Go for School,School
Go for Dad,Social
Schedule Call Mom,Personal
Finish Wash,Personal
Visit Project,School
Go for Plant,Errands
Schedule Club,Social
Do BrushMeditate,Personal
Visit Bank,Errands
Finish Therapist,Health
Pay Quiz,School
Pay Governors State,School
Go for Milk,Errands
Do Personal,Personal
Do Weight,Health
Go for Update,Work
Get Vitamin,Health
Visit Health,Health
Pay Decoration,Personal
Do Insurance,Errands
Workout,Health
Goto Job,Work
Pay Hair,Personal
Get DMV,Errands
Schedule Jump rope,Health
Go for Medicine,Health
Pay Portfolio,Work
Pay Report,Work
New Year's,Social
Go for School,School
Go for BrushMeditate,Personal
Schedule Deadline,Work
Insurance,Errands
Get Lunch,Errands
Pay Club,Social
Schedule Computer,School
Pay 4th of JulyPhone,Social
Schedule Book,School
Do Homework,School
Do Governors State,School
Mail,Errands
Pay Vitamin,Health
Schedule Sibling,Social
Get Call Dad,Personal
Goto Family,Social
Schedule Restaurant,Social
Goto Dinner,Errands
Pay Vacuum,Personal
Goto Stretch,Health
Do Money,Errands
Do Vitamin,Health
Get Dry,Personal
Visit Meet,Social
Visit Movie,Social
Do Job,Work
Schedule Hand,Personal
Visit Catering,Social
Goto BrushMeditate,Personal
Do BrushMeditate,Personal
Goto Elliptical,Health
Go for Workout,Health
Get Workout,Health
Go for Mechanic,Errands
Finish Sibling,Social
Finish Bar,Social
Schedule Meeting,Work
Schedule House,Personal
Game,Social
Pay Bar,Social
Schedule Design,Work
Finish Clothes,Personal
Schedule Car,Errands
